poi_type,,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante,dass_etabs_sante
poi_id,,7,1011,8,9,10,14,15,16,17,18,19,23,27,1092,39,41,49,50,55,56,57,73,74,78,79,80,122,132,133,163,164,165,166,167,168,216,217,218,219,1093,220,221,226,1012,1014,414,423,428,429,430,431,432,433,434,447,471,472,486,491,495,496,497,498,503,504,506,509,512,514,523,526,528,529,538,539,540,541,547,572,573,574,575,583,584,612,622,638,653,654,655,656,657,658,659,660,661,699,700,701,702,703,706,876,885,890,893,906,934,935,936,939,951,961,965,966,967,968,969,970,976,980,985,988,995,996,1035,1100,1101,1102,1103,1104,1105,1106,1107,1108,1144,1146,1145,1147,1148,1150,1149,1157,1158,1299,1310,1319,1320,1344
poi_name,,Pharmacie de Népoui (Pharmacie),Cabinet Sage-Femme de MAHÉ Pierranne (Sage-Femme),Pharmacie de Canala (Pharmacie),Pharmacie d'Ouvéa (Pharmacie),Pharmacie de Ouégoa (Pharmacie),CMS de Yaté (Dispensaire),CMS de Touho (Dispensaire),CMS de Ouloup (Dispensaire),CMS de Kouaoua (Dispensaire),CMS de Poum (Dispensaire),CMS de Bélep (Dispensaire),CMS de Voh (Dispensaire),Pharmacie de Téari (Pharmacie),CHS Albert Bousquet - PSY (Hôpitaux),CMS de la Roche (Dispensaire),Pharmacie de Thio (Pharmacie),CMS de Mou (Dispensaire),CMS de Chépénéhé (Dispensaire),Cabinet de Sage-Femme de LEROY Mireille (Sage-Femme),Fémina Santé (Sage-Femme),Cabinet Sage-Femme de LOSCUL Clémence (Sage-Femme),CSSR (Hôpitaux),CHT (Hôpitaux),Pharmacie de Dumbéa (Pharmacie),Pharmacie du Médicentre (Pharmacie),Pharmacie du Kaducée (Kenu In) (Pharmacie),Hopital Paul Thavoavianon (CHN Koumac) (Hôpitaux),Cabinet du Sage-Femme CORRE Thierry (Sage-Femme),CMS de la Foa (Dispensaire),Pharmacie de Sainte-Marie (Pharmacie),Pharmacie des Isles (Pharmacie),Pharmacie du Lagon (Pharmacie),Pharmacie Normale (Pharmacie),Pharmacie de la Riviere Salee (Pharmacie),Pharmacie de La Place (Mutuelles des Fonctionnaires) (Pharmacie),Cabinet Médical de la Sage-femme CATTELLIOT Marie-Sarala (Sage-Femme),Cabinet Médical de la Sage-Femme BESSENAY Sandrine (Sage-Femme),Cabinet de la Sage-Femme GUQUET Céline (Sage-Femme),Cabinet Sage-Femme de MAHÉ Pierranne (Sage-Femme),CHS Albert Bousquet - SSR (Hôpitaux),Cabinet de Sage-Femme KERBIRIOU Sophie/MATHIEU Laurence (Sage-Femme),Cabinet Médical de la Sage-Femme GUILLEMAILLE-FILY Sandrine (Sage-Femme),CMS CAFAT de Rivière Salée (déplacé à CAFAT Receiving) (Dispensaire),Cabinet de la Sage-Femme TUDARE Julia (Sage-Femme),CMS de Païta (Dispensaire),Pharmacie de Bourail (Pharmacie),Pharmacie de Hienghène (Pharmacie),Pharmacie de La Conception (Pharmacie),Pharmacie de Boulari (Pharmacie),Pharmacie Mutualiste du Pont des Français (Pharmacie),Pharmacie Rocade du Mont-Dore (Pharmacie),Pharmacie des 2 Baies (Pharmacie),Pharmacie de La Corniche (Pharmacie),Pharmacie de Robinson (Pharmacie),Cabinet de la Sage-Femme LEVY Mélissa (Sage-Femme),Hopital Raymond Nebayes (CHN Poindimié) - MCO (Hôpitaux),Hopital Raymond Nebayes (CHN Poindimié) - SSR (Hôpitaux),Pharmacie de Boulouparis (Pharmacie),CMS de Ponérihouen (Dispensaire),Pharmacie de Pouébo (Pharmacie),Pharmacie de Touho (Pharmacie),Pharmacie de Kaala Gomen (Pharmacie),Pharmacie de Yaté (Pharmacie),CMS de Ouégoa (Dispensaire),Pharmacie de Voh (Pharmacie),Cabinet de sage-femme THOMAS Sandrine (Sage-Femme),PSN - CHN de Koné (Hôpitaux),Cabinet de la Sage-Femme LOGIE Karine (Sage-Femme),CMS de Koné (Dispensaire),Pharmacie de Nengone (Pharmacie),CMS de Thio (Dispensaire),Pharmacie du Santal (Pharmacie),Pharmacie de Lifou (Pharmacie),Pharmacie de Savannah (Pharmacie),Pharmacie des Tulipiers (Pharmacie),Pharmacie des Niaoulis (Pharmacie),Pharmacie de Paita (Pharmacie),Cabinet Sage-Femme de Paita (Sage-Femme),Pharmacie de Dumbéa Nord (Pharmacie),Pharmacie CMK (Pharmacie),Pharmacie du Mall (Pharmacie),Pharmacie Apogoti (Pharmacie),Cabinet de la Sage-femme GUIER-CONTAL Aurore (Sage-Femme),CMS de Dumbéa (Dispensaire),Pharmacie des Hibiscus (Koumac) (Pharmacie),Pharmacie de La Foa (Pharmacie),Clinique Kuindo-Magnin - MCO (Hôpitaux),Pharmacie de la VDE (Pharmacie),Pharmacie de La Victoire (Pharmacie),Pharmacie de La Vallée du Tir (Pharmacie),Pharmacie de Ducos (Pharmacie),Pharmacie Calédonienne (Pharmacie),Pharmacie des Portes d'Argent (Pharmacie),Pharmacie Galliéni Rocade (Pharmacie),Pharmacie de l'Alma (Pharmacie),Pharmacie Baie des Dames (Pharmacie),Cabinet Médical de la Sage-Femme PERDU Florence (Sage-Femme),Cabinet Médical de la Sage-Femme KLEIN Frédérique (Sage-Femme),Cabinet de la Sage-Femme MATHIEU Laurence (Sage-Femme),Cabinet de la Sage-Femme ESCRIVA Marjorie (Sage-Femme),Cabinet Médical de la Sage-Femme LEFEBVRE Juliette (Sage-Femme),Centre de Conseil Familial de Montravel (centre L LODS) (Dispensaire),Cabinet de la Sage-Femme RABOT Eve-Lyne (Sage-Femme),Pharmacie de Houailou (Pharmacie),CMS de Hienghène (Dispensaire),Pharmacie de Plum (Pharmacie),Cabinet des Sages-Femmes de ORI Nathalie/TEGUH Marielle (Sage-Femme),Pharmacie de Poindimié (Pharmacie),Cabinet de Sage-Femme de MARNAS-REDON Elodie (Sage-Femme),CMS de Poindimié (Dispensaire),Pharmacie de Pouembout (Pharmacie),Pharmacie de Ponérihouen (Pharmacie),Pharmacie de l'Ile des Pins (Pharmacie),CMS de Saint-Joseph (Dispensaire),CMS de Kaala-Gomen (Dispensaire),CMS de Poya (Dispensaire),CMS de Canala (Dispensaire),CMS de Pouébo (Dispensaire),CMS de L'île des Pins (Dispensaire),Pharmacie de Koné (Pharmacie),Cabinet de la Sage-Femme DODION Evy (Sage-Femme),CMS de Tadine (Dispensaire),CMS de Wé (Dispensaire),Pharmacie de Tontouta (Pharmacie),Pharmacie Ondémia (Pharmacie),Pharmacie de Koutio Kenu In (Pharmacie),Pharmacie du KM7 (Pharmacie),GPNC (Pharmacie),Pharmacie Val Plaisance Médisud (Pharmacie),Pharmacie  de l'Océan (Pharmacie),Pharmacie de Magenta Plage (Pharmacie),Pharmacie de La Vallée des Colons (Pharmacie),Pharmacie de Port Plaisance (Pharmacie),Pharmacie AUSTRALE (Pharmacie),Pharmacie de Ouémo Rocade (Pharmacie),Cabinet Médical de la Sage-Femme DUPRA Nathalie (Sage-Femme),Cabinet Sage-Femme de COLLET-BEILLON Marie-Danièle (Sage-Femme),Cabinet de la Sage-Femme KLEIN-NEPHTALI Lisa (Sage-Femme),Cabinet de la Sage-Femme GAUBERT Sophie (Sage-Femme),Cabinet Sage-Femme de HAUCHECORNE Aurélie (Sage-Femme),Cabinet de la Sage-Femme ROLLAND Camille (Sage-Femme),Cabinet de La Sage-Femme LESCROART Valérie (Sage-Femme),CMP Nouméa (Dispensaire),CMS de Kaméré (Dispensaire),CMS de Bourail (Dispensaire),CMS de Houaïlou (Dispensaire),Cabinet de Sage-Femme de LUNDQVIST Nathalie (Sage-Femme),CMS de Boulari (Dispensaire),Pharmacie Mutualiste de Pouembout (Pharmacie)
iris_code,iris_libelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Bélep,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
201,Boulouparis village,107.55,27.14,70.97,N/A,220.89,110.95,181.36,N/A,75.02,233.45,N/A,151.1,126.28,65.03,N/A,40.4,N/A,N/A,46.5,27.0,46.65,51.63,51.2,54.01,51.04,52.73,194.43,27.03,27.06,61.36,59.31,60.48,58.79,55.27,58.9,55.4,58.93,61.08,27.29,65.03,54.06,59.8,55.16,45.9,46.69,60.64,218.7,56.53,60.15,54.25,68.1,54.97,76.32,57.04,68.1,166.96,166.96,8.93,142.81,251.16,183.09,181.92,110.32,223.32,150.68,150.63,124.21,128.65,128.92,N/A,40.44,N/A,N/A,45.9,46.68,48.41,46.65,46.65,54.91,52.57,53.74,50.56,52.99,51.3,193.77,27.28,62.62,56.51,59.92,57.54,58.7,60.16,56.43,59.13,58.76,57.06,59.8,129.04,53.95,57.09,58.93,55.82,60.47,107.41,219.06,76.82,52.99,168.06,59.51,166.84,120.89,142.99,N/A,N/A,181.82,90.83,70.26,250.12,N/A,128.49,128.49,N/A,N/A,26.72,42.29,53.52,55.06,54.72,63.73,63.58,59.51,59.96,62.59,62.73,61.25,58.93,60.87,62.93,59.8,61.36,60.86,59.51,58.71,58.6,60.04,106.69,68.4,58.57,120.89
204,Tomo-Ouinané,114.43,11.54,77.61,N/A,227.77,95.35,188.24,N/A,81.9,240.33,N/A,157.98,133.16,49.43,N/A,44.46,N/A,N/A,30.91,11.41,31.05,36.03,35.6,38.41,35.45,37.13,201.31,33.91,33.94,45.76,43.71,44.88,43.19,39.67,43.3,39.81,43.34,45.48,34.17,49.43,38.46,44.2,39.56,30.3,31.09,67.52,225.58,40.94,44.55,38.65,52.5,39.37,60.72,41.44,52.5,173.84,173.84,12.52,149.69,258.05,189.97,188.8,94.72,230.2,157.56,157.51,131.09,135.53,135.8,N/A,44.5,N/A,N/A,30.3,31.08,32.81,31.05,31.05,39.32,36.97,38.14,34.96,37.4,35.7,200.65,34.16,47.02,40.91,44.33,41.94,43.1,44.56,40.83,43.53,43.17,41.46,44.2,135.92,38.35,41.49,43.34,40.22,67.35,114.29,225.94,61.22,37.4,174.94,43.91,173.73,127.77,149.87,N/A,N/A,188.7,97.71,76.9,257.0,N/A,135.37,135.37,N/A,N/A,11.12,26.69,37.93,39.46,39.12,48.13,47.99,43.91,44.36,46.99,47.13,45.65,43.34,45.28,47.34,44.2,45.77,45.26,43.91,43.11,43.0,66.92,113.57,52.8,42.97,127.77
205,Nassirah,107.23,29.77,65.09,N/A,220.57,113.59,181.04,N/A,74.7,233.12,N/A,150.78,125.96,67.67,N/A,30.09,N/A,N/A,49.14,29.64,49.29,54.26,53.83,56.64,53.68,55.37,194.11,26.71,26.74,63.99,61.94,63.11,61.42,57.9,61.53,58.04,61.57,63.71,26.97,67.67,56.69,62.43,57.8,48.53,49.32,60.32,218.38,59.17,62.79,56.89,70.73,57.6,78.95,59.67,70.73,166.64,166.64,9.45,142.49,250.84,182.77,181.6,112.96,223.0,150.36,150.31,123.89,128.33,128.6,N/A,30.13,N/A,N/A,48.53,49.31,51.04,49.29,49.29,57.55,55.21,56.38,53.19,55.63,53.94,193.45,26.96,65.25,59.14,62.56,60.17,61.33,62.8,59.06,61.76,61.4,59.69,62.43,128.72,56.58,59.72,61.57,58.45,60.15,107.09,218.74,79.46,55.63,167.74,62.14,166.52,120.57,142.67,N/A,N/A,181.5,90.51,64.37,249.8,N/A,128.16,128.17,N/A,N/A,29.35,44.92,56.16,57.69,57.35,66.37,66.22,62.14,62.6,65.22,65.37,63.89,61.57,63.51,65.57,62.43,64.0,63.49,62.14,61.35,61.24,59.72,106.37,71.03,61.21,120.57
301,Bourail village,46.87,76.82,70.67,N/A,160.21,160.63,120.69,N/A,74.72,172.77,N/A,90.42,65.61,114.71,N/A,86.98,N/A,N/A,96.19,76.69,96.33,101.31,100.88,103.69,100.72,102.41,133.75,35.55,35.05,111.04,108.99,110.16,108.47,104.95,108.58,105.09,108.62,110.76,34.88,114.71,103.74,109.48,104.84,95.58,96.37,1.86,158.02,106.22,109.83,103.93,117.78,104.65,126.0,106.72,117.78,107.13,107.13,56.5,82.98,190.49,122.42,121.25,160.0,162.65,90.01,89.96,63.54,67.98,68.24,N/A,87.02,N/A,N/A,95.58,96.36,98.09,96.33,96.33,104.6,102.25,103.42,100.24,102.68,100.98,133.1,34.6,112.3,106.19,109.61,107.22,108.38,109.84,106.11,108.81,108.45,106.74,109.48,68.37,103.63,106.77,108.62,105.5,1.92,49.89,158.38,126.5,102.68,108.22,109.19,107.01,60.22,83.16,N/A,N/A,121.14,30.15,69.96,189.44,N/A,67.81,67.81,N/A,N/A,76.4,91.97,103.21,104.74,104.4,113.41,113.26,109.19,109.64,112.27,112.41,110.93,108.62,110.56,112.61,109.48,111.05,110.54,109.19,108.39,108.28,2.29,50.43,118.08,108.25,60.22
302,Poé Nessadiou,59.09,77.76,71.61,N/A,172.43,161.58,132.9,N/A,75.67,184.99,N/A,102.64,77.82,115.66,N/A,87.93,N/A,N/A,97.13,77.63,97.28,102.25,101.82,104.63,101.67,103.36,145.97,36.5,35.99,111.99,109.93,111.1,109.42,105.89,109.52,106.03,109.56,111.7,35.82,115.66,104.68,110.42,105.79,96.52,97.31,12.18,170.24,107.16,110.78,104.88,118.73,105.59,126.95,107.66,118.73,119.34,119.34,57.44,95.19,202.71,134.63,133.46,160.95,174.86,102.22,102.17,75.75,80.19,80.46,N/A,87.96,N/A,N/A,96.52,97.3,99.03,97.28,97.28,105.54,103.2,104.37,101.19,103.62,101.93,145.31,35.54,113.24,107.13,110.55,108.16,109.32,110.79,107.05,109.75,109.39,107.68,110.42,80.58,104.57,107.71,109.56,106.44,12.01,62.11,170.6,127.45,103.62,120.44,110.13,119.23,72.43,95.38,N/A,N/A,133.36,42.37,70.9,201.66,N/A,80.03,80.03,N/A,N/A,77.35,92.91,104.15,105.69,105.34,114.36,114.21,110.13,110.59,113.21,113.36,111.88,109.56,111.5,113.56,110.42,111.99,111.48,110.13,109.34,109.23,11.58,62.64,119.02,109.2,72.43
303,Domaine Deva Le Cap,41.43,94.49,88.34,N/A,154.77,178.3,115.25,N/A,92.39,167.33,N/A,84.98,60.17,132.38,N/A,104.65,N/A,N/A,113.85,94.35,114.0,118.98,118.54,121.36,118.39,120.08,128.31,53.22,52.72,128.71,126.66,127.82,126.14,122.62,126.25,122.75,126.28,128.43,52.55,132.38,121.4,127.15,122.51,113.24,114.04,19.62,152.58,123.88,127.5,121.6,135.45,122.32,143.67,124.39,135.45,113.1,113.1,74.17,94.11,185.05,116.98,115.8,177.67,157.21,84.57,84.52,58.09,62.53,62.8,N/A,104.69,N/A,N/A,113.24,114.03,115.75,114.0,114.0,122.26,119.92,121.09,117.91,120.34,118.65,127.66,52.27,129.97,123.85,127.27,124.89,126.05,127.51,123.78,126.48,126.11,124.4,127.15,62.93,121.29,124.44,126.28,123.17,19.72,62.9,152.94,144.17,120.34,112.14,126.86,113.13,54.78,94.29,N/A,N/A,115.7,24.71,87.62,184.0,N/A,62.37,62.37,N/A,N/A,94.07,109.63,120.87,122.41,122.07,131.08,130.93,126.86,127.31,129.94,130.08,128.6,126.28,128.22,130.28,127.15,128.71,128.21,126.86,126.06,125.95,20.41,63.43,135.75,125.92,54.78
