iris_code,iris_libelle,poi_type,poi_id,poi_name,minimum,mediane,moyenne,maximum
0101,Bélep,dimenc_centres,1,Nickel Mining Company - OUALA CARRIERE C,NULL,NULL,NULL,NULL
0201,Boulouparis village,dimenc_centres,1,Nickel Mining Company - OUALA CARRIERE C,164.03,180.09,178.83,188.45
0204,Tomo-Ouinané,dimenc_centres,1,Nickel Mining Company - OUALA CARRIERE C,177.14,186.97,189.21,221.06
0205,Nassirah,dimenc_centres,1,Nickel Mining Company - OUALA CARRIERE C,174.63,179.77,182.25,194.57
0301,Bourail village,dimenc_centres,1,Nickel Mining Company - OUALA CARRIERE C,113.94,119.42,118.98,123.75
0302,Poé Nessadiou,dimenc_centres,1,Nickel Mining Company - OUALA CARRIERE C,121.85,131.63,131.90,142.70
0303,Domaine Deva Le Cap,dimenc_centres,1,Nickel Mining Company - OUALA CARRIERE C,102.31,113.98,116.83,137.37
0304,Nandaï Boghen,dimenc_centres,1,Nickel Mining Company - OUALA CARRIERE C,108.02,123.57,122.53,144.90
0305,Ny,dimenc_centres,1,Nickel Mining Company - OUALA CARRIERE C,117.62,124.46,125.39,136.08
0401,Canala village,dimenc_centres,1,Nickel Mining Company - OUALA CARRIERE C,175.39,186.23,185.44,193.74
0403,Gélima - Kuiné - Mia - Nakéty,dimenc_centres,1,Nickel Mining Company - OUALA CARRIERE C,190.15,194.95,194.80,201.69
0404,Mé Kwaré,dimenc_centres,1,Nickel Mining Company - OUALA CARRIERE C,182.57,206.54,207.48,221.42
0501,Coeur de ville urbain,dimenc_centres,1,Nickel Mining Company - OUALA CARRIERE C,220.30,222.02,222.05,224.05
0502,Coeur de ville littoral,dimenc_centres,1,Nickel Mining Company - OUALA CARRIERE C,218.80,220.15,220.17,221.50
0503,Koutio Secal,dimenc_centres,1,Nickel Mining Company - OUALA CARRIERE C,219.66,220.71,220.71,221.82
0504,Koutio érudits,dimenc_centres,1,Nickel Mining Company - OUALA CARRIERE C,219.19,219.90,219.91,220.71
