poi_type,,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_usines,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_usines,dimenc_usines
poi_id,,1,2,3,4,5,6,7,8,9,10,11,12,1,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,2,3
poi_name,,Nickel Mining Company - OUALA CARRIERE C,Nickel Mining Company - BOGOTA SUIVANTE-BIENVENUE,Nickel Mining Company - CLAUDE ET PHILOMENE,Maï Kouaoua Mines - GRAZIELLA,Nickel Mining Company - KOUE,Société des Mines de la Tontouta - MICHEL 37,Société des Mines de la Tontouta - TUNNEY,Société des Mines de la Tontouta - NAKETY PLATEAU,Nickel Mining Company - PB2 carrière basse,Société le Nickel - VERSE RACHEL,Société le Nickel - POUM,Société le Nickel - TIEBAGHI,KNS - Koniambo,Société le Nickel - ETOILE DU NORD,Nickel Mining Company - OUACO OUAZANGOU,Nickel Mining Company - OUACO TAOM,Société le Nickel - KOPETO,Nickel Mining Company - PINPIN 1B,Société des Mines de la Tontouta - CAP BOCAGE,Société le Nickel - PORO FRANCAISE,Nickel Mining Company - ALICE-PHILIPPE,Société le Nickel - KOUAOUA MEA-KIEL-DOUMA,Société des Mines de la Tontouta - BOGOTA EARLY DOWN-NIGL,Nickel Mining Company - NAKETY EDOUARD-EUREKA-CIRCEE,Société le Nickel - THIO PLATEAU,Société le Nickel - THIO CAMP DES SAPINS,Société minière Georges Montagnat - TOMO-SMMO 43,Société le Nickel - OPOUE,Société minière Georges Montagnat - VULCAIN,Maï Kouaoua Mines - ADA,Société des Mines de la Tontouta - MICHEL 38,Société le Nickel - BOUALOUDJELIMA,Société minière Georges Montagnat - OUINNE,Société le Nickel - DOTHIO,Société le Nickel - PINPIN 1A,Société des Mines de la Tontouta - NAKETY LUCIENNE,Société le Nickel - PORO BONINI,Vale Nouvelle-Calédonie - GORO,Koniambo Nickel SAS - KONIAMBO,Nickel Mining Company - KADJITRA,Société le Nickel - STAMBOUL,VALE NC - Goro,SLN - Doniambo
iris_code,iris_libelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Bélep,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
201,Boulouparis village,188.45,89.94,122.26,105.39,192.77,217.01,200.5,77.34,115.47,133.24,240.8,222.92,153.9,214.24,192.51,204.2,141.06,113.3,143.19,113.98,93.53,86.93,91.69,79.24,56.52,69.76,51.73,48.06,66.71,109.79,203.33,198.21,N/A,68.3,109.86,97.1,106.71,154.87,171.67,97.41,92.1,149.45,72.3
204,Tomo-Ouinané,221.06,105.66,154.87,132.44,225.38,249.62,233.11,93.07,142.52,165.85,273.41,255.53,186.51,246.85,225.12,236.81,173.67,145.91,167.37,138.16,117.71,111.11,107.41,94.96,72.25,85.49,78.78,75.12,93.77,136.84,235.94,230.82,N/A,84.02,142.47,112.83,130.89,181.93,204.28,121.59,116.28,176.51,99.36
205,Nassirah,194.57,92.23,128.38,109.05,198.89,223.13,206.62,79.64,119.13,139.36,246.92,229.04,160.01,220.36,198.63,210.32,147.18,119.42,149.31,120.1,99.64,93.05,93.98,81.53,58.82,72.05,55.39,51.73,70.38,113.45,209.44,204.33,N/A,70.59,115.98,99.4,112.83,158.54,177.78,103.53,98.21,153.12,75.97
301,Bourail village,123.75,92.81,57.56,146.5,128.07,152.31,135.79,104.38,156.58,68.54,176.1,158.22,89.19,149.54,127.8,139.5,76.36,48.6,79.33,69.89,84.68,84.14,94.56,100.5,96.26,109.5,92.84,89.17,107.82,150.9,138.62,133.51,N/A,108.03,45.16,103.55,70.14,195.98,106.96,92.56,88.56,190.56,113.41
302,Poé Nessadiou,142.7,98.69,76.51,152.37,147.02,171.26,154.75,110.26,162.45,87.49,195.05,177.17,108.15,168.49,146.76,158.45,95.31,67.55,98.29,88.85,96.61,90.01,100.44,106.38,102.14,115.37,98.71,95.05,113.7,156.77,157.58,152.47,N/A,113.91,64.12,109.43,89.1,201.86,125.92,100.5,95.18,196.44,119.29
303,Domaine Deva Le Cap,137.37,118.04,71.19,171.72,141.7,165.94,149.42,129.61,181.8,82.17,189.73,171.85,102.82,163.17,141.43,153.13,89.99,62.23,108.61,99.17,112.78,109.36,119.79,125.73,121.49,134.72,118.06,114.4,133.05,176.12,152.25,147.14,N/A,133.26,58.79,128.78,99.42,221.21,120.59,116.66,111.35,215.79,138.64
304,Nandaï Boghen,144.9,112.55,78.72,166.24,149.23,173.47,156.95,124.12,176.31,89.7,197.26,179.38,110.35,170.7,148.96,160.66,97.52,69.76,96.82,87.38,98.05,103.87,114.3,120.24,116.0,129.24,112.57,108.91,127.56,170.63,159.78,154.67,N/A,127.77,66.32,123.29,87.63,215.72,128.12,105.93,103.46,210.3,133.15
305,Ny,136.08,112.34,69.9,166.02,140.41,164.65,148.13,123.91,176.1,80.88,188.43,170.55,101.53,161.88,140.14,151.83,88.7,60.94,76.08,66.64,81.49,99.03,114.09,120.03,115.79,129.02,112.36,108.7,127.35,170.42,150.96,145.85,N/A,127.56,57.5,123.08,66.89,215.51,119.3,89.37,86.89,210.09,132.94
401,Canala village,193.74,38.3,127.56,154.52,198.06,222.3,205.79,49.87,164.6,138.54,246.09,228.21,159.19,219.54,197.8,209.49,146.36,118.6,102.3,73.08,52.63,46.03,40.05,45.99,67.07,92.71,100.86,97.2,115.85,158.92,208.62,203.51,N/A,62.34,115.16,49.04,65.82,204.01,176.96,56.51,51.2,198.59,121.44
403,Gélima - Kuiné - Mia - Nakéty,201.69,19.55,135.5,153.13,206.01,230.25,213.73,31.12,163.21,146.48,254.04,236.16,167.13,227.48,205.74,217.44,154.3,126.54,110.24,81.03,60.57,53.97,21.3,27.24,48.32,73.96,99.47,95.81,114.46,157.53,216.56,211.45,N/A,43.59,123.1,30.29,73.76,202.62,184.9,64.46,59.14,197.2,120.05
404,Mé Kwaré,221.42,45.6,155.23,169.63,225.74,249.98,233.46,57.17,179.71,166.21,273.77,255.89,186.86,247.21,225.47,237.17,174.03,146.27,129.97,100.76,80.3,73.7,47.35,53.29,74.37,100.01,115.97,112.3,130.95,174.03,236.29,231.18,N/A,69.64,142.83,56.34,93.49,219.11,204.63,84.19,78.87,213.69,136.54
501,Coeur de ville urbain,224.05,118.61,157.87,42.29,228.37,252.61,236.1,106.02,52.37,168.85,276.4,258.52,189.5,249.85,228.11,239.8,176.67,148.91,178.8,149.58,129.13,122.53,120.36,107.91,85.2,98.44,47.97,44.3,62.95,46.69,238.93,233.82,N/A,96.97,145.47,125.78,142.32,91.77,207.27,133.01,127.7,86.36,8.72
502,Coeur de ville littoral,221.5,116.06,155.31,42.49,225.82,250.06,233.55,103.47,52.57,166.29,273.85,255.97,186.95,247.29,225.56,237.25,174.11,146.36,176.24,147.03,126.58,119.98,117.81,105.36,82.65,95.88,45.41,41.75,60.4,46.89,236.38,231.27,N/A,94.42,142.92,123.23,139.77,91.97,204.72,130.46,125.15,86.56,9.41
503,Koutio Secal,221.82,116.38,155.63,41.62,226.14,250.38,233.87,103.78,51.7,166.61,274.17,256.29,187.26,247.61,225.87,237.57,174.43,146.67,176.56,147.35,126.89,120.3,118.13,105.68,82.96,96.2,45.73,42.07,60.72,46.02,236.69,231.58,N/A,94.74,143.23,123.54,140.08,91.1,205.03,130.78,125.46,85.68,8.64
504,Koutio érudits,220.71,115.27,154.53,42.25,225.04,249.28,232.76,102.68,52.33,165.51,273.06,255.19,186.16,246.51,224.77,236.46,173.33,145.57,175.46,146.24,125.79,119.19,117.02,104.57,81.86,95.1,44.63,40.97,59.62,46.65,235.59,230.48,N/A,93.63,142.13,122.44,138.98,91.73,203.93,129.68,124.36,86.32,9.17
505,Koutio Fortunes de mer,220.55,115.11,154.36,42.33,224.87,249.11,232.6,102.51,52.4,165.34,272.9,255.02,185.99,246.34,224.6,236.3,173.16,145.4,175.29,146.08,125.62,119.03,116.86,104.41,81.69,94.93,44.46,40.8,59.45,46.72,235.42,230.31,N/A,93.47,141.96,122.27,138.81,91.81,203.76,129.51,124.19,86.39,9.24
506,Jacarandas I,223.34,117.9,157.15,44.66,227.66,251.9,235.39,105.3,54.74,168.13,275.69,257.81,188.78,249.13,227.4,239.09,175.95,148.19,178.08,148.87,128.41,121.82,119.65,107.2,84.48,97.72,47.25,43.59,62.24,49.06,238.21,233.1,N/A,96.26,144.75,125.06,141.6,94.15,206.55,132.3,126.99,88.73,11.75
