poi_type,,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_usines,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_usines,dimenc_usines
poi_id,,1,2,3,4,5,6,7,8,9,10,11,12,1,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,2,3
poi_name,,Nickel Mining Company - OUALA CARRIERE C,Nickel Mining Company - BOGOTA SUIVANTE-BIENVENUE,Nickel Mining Company - CLAUDE ET PHILOMENE,Maï Kouaoua Mines - GRAZIELLA,Nickel Mining Company - KOUE,Société des Mines de la Tontouta - MICHEL 37,Société des Mines de la Tontouta - TUNNEY,Société des Mines de la Tontouta - NAKETY PLATEAU,Nickel Mining Company - PB2 carrière basse,Société le Nickel - VERSE RACHEL,Société le Nickel - POUM,Société le Nickel - TIEBAGHI,KNS - Koniambo,Société le Nickel - ETOILE DU NORD,Nickel Mining Company - OUACO OUAZANGOU,Nickel Mining Company - OUACO TAOM,Société le Nickel - KOPETO,Nickel Mining Company - PINPIN 1B,Société des Mines de la Tontouta - CAP BOCAGE,Société le Nickel - PORO FRANCAISE,Nickel Mining Company - ALICE-PHILIPPE,Société le Nickel - KOUAOUA MEA-KIEL-DOUMA,Société des Mines de la Tontouta - BOGOTA EARLY DOWN-NIGL,Nickel Mining Company - NAKETY EDOUARD-EUREKA-CIRCEE,Société le Nickel - THIO PLATEAU,Société le Nickel - THIO CAMP DES SAPINS,Société minière Georges Montagnat - TOMO-SMMO 43,Société le Nickel - OPOUE,Société minière Georges Montagnat - VULCAIN,Maï Kouaoua Mines - ADA,Société des Mines de la Tontouta - MICHEL 38,Société le Nickel - BOUALOUDJELIMA,Société minière Georges Montagnat - OUINNE,Société le Nickel - DOTHIO,Société le Nickel - PINPIN 1A,Société des Mines de la Tontouta - NAKETY LUCIENNE,Société le Nickel - PORO BONINI,Vale Nouvelle-Calédonie - GORO,Koniambo Nickel SAS - KONIAMBO,Nickel Mining Company - KADJITRA,Société le Nickel - STAMBOUL,VALE NC - Goro,SLN - Doniambo
iris_code,iris_libelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Bélep,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
201,Boulouparis village,180.09,76.61,113.91,90.95,184.41,208.65,192.14,64.63,101.03,124.88,232.44,214.56,145.54,205.88,184.15,195.84,132.71,104.95,134.83,105.62,85.17,78.57,78.36,66.53,43.81,57.05,37.29,33.63,52.28,95.35,194.97,189.86,N/A,55.59,101.51,84.1,98.36,140.43,163.31,89.05,83.74,135.02,57.87
204,Tomo-Ouinané,186.97,81.29,120.79,75.35,191.29,215.53,199.02,68.69,85.43,131.77,239.32,221.44,152.42,212.76,191.03,202.72,139.59,111.83,141.72,112.5,92.05,85.45,83.04,70.59,47.87,61.11,19.68,16.41,35.18,79.75,201.85,196.74,N/A,59.65,108.39,88.45,105.24,124.84,170.19,95.93,90.62,119.42,42.27
205,Nassirah,179.77,66.91,113.58,93.58,184.09,208.33,191.82,54.32,103.66,124.56,232.12,214.24,145.22,205.56,183.83,195.52,132.38,104.62,134.51,105.3,84.85,78.25,68.67,56.22,33.5,46.74,39.92,36.26,54.91,97.98,194.65,189.54,N/A,45.27,101.19,74.08,98.04,143.07,162.99,88.73,83.42,137.65,60.5
301,Bourail village,119.42,86.94,53.23,140.63,123.74,147.98,131.47,98.51,150.71,64.21,171.77,153.89,84.86,145.21,123.47,135.17,72.03,44.27,75.0,65.56,80.41,78.27,88.7,94.64,90.39,103.63,86.97,83.31,101.96,145.03,134.29,129.18,N/A,102.17,40.83,97.68,65.82,190.11,102.63,87.31,82.71,184.7,107.55
302,Poé Nessadiou,131.63,87.89,65.45,141.57,135.95,160.19,143.68,99.46,151.65,76.43,183.98,166.1,97.08,157.43,135.69,147.38,84.25,56.49,87.22,77.78,85.81,79.21,89.64,95.58,91.34,104.57,87.91,84.25,102.9,145.97,146.51,141.4,N/A,103.11,53.05,98.63,78.03,191.06,114.85,89.7,84.38,185.64,108.49
303,Domaine Deva Le Cap,113.98,104.61,47.79,158.3,118.3,142.54,126.02,116.18,168.38,58.77,166.33,148.45,79.42,139.77,118.03,129.73,66.59,38.83,88.01,78.57,92.79,95.94,106.36,112.3,108.06,121.3,104.64,100.98,119.63,162.7,128.85,123.74,N/A,119.83,35.39,115.35,78.82,207.78,97.19,99.05,95.3,202.37,125.22
304,Nandaï Boghen,123.57,92.5,57.38,146.22,127.89,152.13,135.62,104.07,156.3,68.36,175.92,158.04,89.02,149.36,127.63,139.32,76.18,48.42,78.83,69.39,81.98,83.82,94.25,100.19,95.99,109.22,92.56,88.9,107.55,150.62,138.45,133.33,N/A,107.72,44.98,103.24,69.64,195.71,106.79,87.94,83.74,190.29,113.14
305,Ny,124.46,101.87,58.05,155.56,128.78,153.02,136.51,113.44,165.64,69.25,176.81,158.93,89.91,150.25,128.52,140.21,77.07,49.31,66.26,56.82,71.67,92.55,103.62,109.56,105.32,118.56,101.9,98.24,116.89,159.96,139.34,134.22,N/A,117.09,45.87,112.61,57.07,205.04,107.67,79.55,77.07,199.63,122.48
401,Canala village,186.23,20.44,120.04,147.01,190.55,214.79,198.28,32.01,157.09,131.02,238.58,220.7,151.68,212.02,190.29,201.98,138.84,111.08,94.78,65.57,45.12,38.52,22.19,28.13,49.21,74.85,93.35,89.69,108.34,151.41,201.11,195.99,N/A,44.48,107.64,31.18,58.3,196.5,169.45,49.0,43.69,191.08,113.93
403,Gélima - Kuiné - Mia - Nakéty,194.95,13.99,128.77,147.42,199.28,223.52,207.0,25.41,157.5,139.75,247.31,229.43,160.4,220.75,199.01,210.7,147.57,119.81,103.51,74.3,53.84,47.24,15.74,21.53,42.6,68.25,93.76,90.1,108.75,151.82,209.83,204.72,N/A,37.88,116.37,24.58,67.03,196.9,178.17,57.73,52.41,191.49,114.34
404,Mé Kwaré,206.54,18.49,140.36,153.83,210.87,235.11,218.59,33.09,163.91,151.34,258.89,241.01,171.99,232.34,210.6,222.29,159.16,131.4,115.1,85.88,65.43,58.83,19.89,29.21,50.61,76.26,100.17,96.51,115.16,158.23,221.42,216.31,N/A,45.89,127.96,32.26,78.62,203.31,189.76,69.32,64.0,197.9,120.75
501,Coeur de ville urbain,222.02,116.58,155.83,39.35,226.34,250.58,234.07,103.99,49.43,166.81,274.37,256.49,187.47,247.81,226.08,237.77,174.63,146.87,176.76,147.55,127.1,120.5,118.33,105.88,83.17,96.4,45.93,42.27,60.92,43.75,236.9,231.79,N/A,94.94,143.44,123.75,140.28,88.83,205.24,130.98,125.67,83.41,7.18
502,Coeur de ville littoral,220.15,114.71,153.97,40.07,224.47,248.72,232.2,102.12,50.15,164.95,272.5,254.62,185.6,245.95,224.21,235.9,172.77,145.01,174.9,145.68,125.23,118.63,116.46,104.01,81.3,94.54,44.07,40.4,59.05,44.47,235.03,229.92,N/A,93.07,141.57,121.88,138.42,89.55,203.37,129.11,123.8,84.14,7.12
503,Koutio Secal,220.71,115.27,154.53,40.55,225.03,249.28,232.76,102.68,50.63,165.51,273.06,255.18,186.16,246.51,224.77,236.46,173.33,145.57,175.46,146.24,125.79,119.19,117.02,104.57,81.86,95.1,44.63,40.96,59.61,44.95,235.59,230.48,N/A,93.63,142.13,122.44,138.98,90.03,203.93,129.67,124.36,84.61,7.5
504,Koutio érudits,219.9,114.46,153.72,40.65,224.22,248.47,231.95,101.87,50.73,164.7,272.25,254.37,185.35,245.7,223.96,235.65,172.52,144.76,174.65,145.43,124.98,118.38,116.21,103.76,81.05,94.29,43.82,40.15,58.8,45.05,234.78,229.67,N/A,92.82,141.32,121.63,138.17,90.14,203.12,128.86,123.55,84.72,7.57
505,Koutio Fortunes de mer,219.26,113.82,153.08,41.38,223.58,247.82,231.31,101.23,51.46,164.05,271.61,253.73,184.71,245.05,223.32,235.01,171.88,144.12,174.0,144.79,124.34,117.74,115.57,103.12,80.41,93.65,43.18,39.51,58.16,45.78,234.14,229.03,N/A,92.18,140.68,120.99,137.53,90.87,202.48,128.22,122.91,85.45,8.3
506,Jacarandas I,221.27,115.83,155.09,43.06,225.6,249.84,233.32,103.24,53.14,166.07,273.62,255.74,186.72,247.07,225.33,237.02,173.89,146.13,176.02,146.8,126.35,119.75,117.58,105.13,82.42,95.66,45.19,41.53,60.18,47.46,236.15,231.04,N/A,94.19,142.69,123.0,139.54,92.54,204.49,130.24,124.92,87.12,10.08
