poi_type,,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_usines,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_centres,dimenc_usines,dimenc_usines
poi_id,,1,2,3,4,5,6,7,8,9,10,11,12,1,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,2,3
poi_name,,Nickel Mining Company - OUALA CARRIERE C,Nickel Mining Company - BOGOTA SUIVANTE-BIENVENUE,Nickel Mining Company - CLAUDE ET PHILOMENE,Maï Kouaoua Mines - GRAZIELLA,Nickel Mining Company - KOUE,Société des Mines de la Tontouta - MICHEL 37,Société des Mines de la Tontouta - TUNNEY,Société des Mines de la Tontouta - NAKETY PLATEAU,Nickel Mining Company - PB2 carrière basse,Société le Nickel - VERSE RACHEL,Société le Nickel - POUM,Société le Nickel - TIEBAGHI,KNS - Koniambo,Société le Nickel - ETOILE DU NORD,Nickel Mining Company - OUACO OUAZANGOU,Nickel Mining Company - OUACO TAOM,Société le Nickel - KOPETO,Nickel Mining Company - PINPIN 1B,Société des Mines de la Tontouta - CAP BOCAGE,Société le Nickel - PORO FRANCAISE,Nickel Mining Company - ALICE-PHILIPPE,Société le Nickel - KOUAOUA MEA-KIEL-DOUMA,Société des Mines de la Tontouta - BOGOTA EARLY DOWN-NIGL,Nickel Mining Company - NAKETY EDOUARD-EUREKA-CIRCEE,Société le Nickel - THIO PLATEAU,Société le Nickel - THIO CAMP DES SAPINS,Société minière Georges Montagnat - TOMO-SMMO 43,Société le Nickel - OPOUE,Société minière Georges Montagnat - VULCAIN,Maï Kouaoua Mines - ADA,Société des Mines de la Tontouta - MICHEL 38,Société le Nickel - BOUALOUDJELIMA,Société minière Georges Montagnat - OUINNE,Société le Nickel - DOTHIO,Société le Nickel - PINPIN 1A,Société des Mines de la Tontouta - NAKETY LUCIENNE,Société le Nickel - PORO BONINI,Vale Nouvelle-Calédonie - GORO,Koniambo Nickel SAS - KONIAMBO,Nickel Mining Company - KADJITRA,Société le Nickel - STAMBOUL,VALE NC - Goro,SLN - Doniambo
iris_code,iris_libelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Bélep,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
201,Boulouparis village,164.03,64.65,97.85,78.4,168.35,192.59,176.08,52.05,88.48,108.83,216.38,198.5,129.48,189.83,168.09,179.78,116.65,88.89,118.78,89.56,69.11,62.51,66.4,53.95,31.23,44.47,24.74,21.08,39.73,82.8,178.91,173.8,N/A,43.01,85.45,71.82,82.3,127.89,147.25,72.99,67.68,122.47,45.32
204,Tomo-Ouinané,177.14,71.51,110.95,67.85,181.46,205.7,189.18,58.92,77.93,121.93,229.49,211.61,142.58,202.93,181.19,192.89,129.75,101.99,131.88,102.67,82.21,75.61,73.26,60.81,38.1,0.78,0.35,0.07,9.05,72.25,192.01,186.9,N/A,49.87,98.55,78.68,95.4,117.34,160.35,86.1,80.78,111.92,34.77
205,Nassirah,174.63,57.0,108.44,86.01,178.95,203.19,186.68,44.41,96.09,119.42,226.98,209.1,140.08,200.42,178.69,190.38,127.24,99.48,129.37,100.16,79.71,73.11,58.75,46.3,23.59,36.83,32.35,28.69,47.34,90.41,189.51,184.4,N/A,35.36,96.05,64.17,92.89,135.5,157.85,83.59,78.28,130.08,52.93
301,Bourail village,113.94,83.37,47.75,137.05,118.26,142.5,125.99,94.93,147.13,58.73,166.29,148.41,79.39,139.73,118.0,129.69,66.55,38.79,69.31,59.88,74.72,74.69,85.12,91.06,86.81,100.05,83.39,79.73,98.38,141.45,128.82,123.7,N/A,98.59,35.35,94.1,60.13,186.53,97.16,82.6,79.86,181.12,103.97
302,Poé Nessadiou,121.85,72.75,55.66,126.43,126.17,150.41,133.9,84.32,136.51,66.64,174.2,156.32,87.3,147.64,125.91,137.6,74.46,46.71,77.44,68.0,70.67,64.07,74.5,80.44,76.19,89.43,72.77,69.11,87.76,130.83,136.73,131.62,N/A,87.97,43.27,83.49,68.25,175.92,105.07,74.55,69.24,170.5,93.35
303,Domaine Deva Le Cap,102.31,92.96,36.12,146.64,106.63,130.87,114.36,104.53,156.72,47.1,154.66,136.78,67.76,128.1,106.37,118.06,54.93,27.17,74.73,65.29,80.14,84.28,94.71,100.65,96.41,109.64,92.98,89.32,107.97,151.04,117.19,112.08,N/A,108.18,23.73,103.7,65.54,196.13,85.53,88.02,85.54,190.71,113.56
304,Nandaï Boghen,108.02,78.55,41.83,132.24,112.34,136.58,120.07,90.12,142.32,52.81,160.37,142.49,73.46,133.81,112.07,123.77,60.63,32.87,65.08,55.64,70.49,69.88,80.3,86.24,82.0,95.24,78.58,74.92,93.57,136.64,122.89,117.78,N/A,93.77,29.43,89.29,55.89,181.72,91.23,78.37,75.05,176.31,99.16
305,Ny,117.62,95.12,51.43,148.81,121.94,146.18,129.67,106.69,158.89,62.41,169.97,152.09,83.07,143.41,121.68,133.37,70.23,42.47,58.13,48.7,63.54,86.32,96.87,102.81,98.57,111.81,95.15,91.49,110.14,153.21,132.5,127.38,N/A,110.34,39.03,105.86,48.95,198.29,100.83,71.42,68.95,192.88,115.73
401,Canala village,175.39,15.25,109.21,136.18,179.72,203.96,187.44,26.81,146.26,120.19,227.74,209.87,140.84,201.19,179.45,191.14,128.01,100.25,83.95,54.74,34.28,27.68,17.0,22.94,44.01,69.66,82.52,78.85,97.5,140.58,190.27,185.16,N/A,39.29,96.81,25.98,47.47,185.66,158.61,38.17,32.85,180.24,103.09
403,Gélima - Kuiné - Mia - Nakéty,190.15,6.61,123.96,140.72,194.47,218.71,202.2,18.0,150.8,134.94,242.5,224.62,155.6,215.94,194.21,205.9,142.76,115.0,98.7,69.49,49.04,42.44,8.36,14.12,35.91,61.55,87.06,83.4,102.05,145.12,205.03,199.91,N/A,31.18,111.56,17.17,62.22,190.21,173.37,52.92,47.61,184.79,107.64
404,Mé Kwaré,182.57,0.08,116.39,135.53,186.89,211.14,194.62,1.43,145.61,127.37,234.92,217.04,148.02,208.37,186.63,198.32,135.19,107.43,79.44,50.23,29.77,32.56,0.2,0.46,30.71,56.36,81.87,78.2,96.85,139.93,197.45,192.34,N/A,25.36,103.99,0.61,42.96,185.01,165.79,33.66,28.35,179.59,102.45
501,Coeur de ville urbain,220.3,114.86,154.11,37.77,224.62,248.86,232.35,102.26,47.85,165.09,272.65,254.77,185.75,246.09,224.36,236.05,172.91,145.15,175.04,145.83,125.38,118.78,116.61,104.16,81.44,94.68,44.21,40.55,59.2,42.17,235.18,230.06,N/A,93.22,141.71,122.03,138.56,87.25,203.52,129.26,123.95,81.84,4.68
502,Coeur de ville littoral,218.8,113.36,152.62,38.6,223.12,247.36,230.85,100.77,48.67,163.6,271.15,253.27,184.25,244.6,222.86,234.55,171.42,143.66,173.55,144.33,123.88,117.28,115.11,102.66,79.95,93.19,42.72,39.05,57.7,42.99,233.68,228.57,N/A,91.72,140.22,120.53,137.07,88.08,202.02,127.76,122.45,82.66,6.13
503,Koutio Secal,219.66,114.22,153.48,39.39,223.98,248.23,231.71,101.63,49.47,164.46,272.01,254.13,185.11,245.46,223.72,235.41,172.28,144.52,174.41,145.19,124.74,118.14,115.97,103.52,80.81,94.05,43.58,39.91,58.56,43.79,234.54,229.43,N/A,92.58,141.08,121.39,137.93,88.87,202.88,128.62,123.31,83.45,6.3
504,Koutio érudits,219.19,113.75,153.0,39.82,223.51,247.75,231.24,101.15,49.9,163.98,271.54,253.66,184.64,244.98,223.25,234.94,171.8,144.04,173.93,144.72,124.27,117.67,115.5,103.05,80.33,93.57,43.1,39.44,58.09,44.22,234.07,228.95,N/A,92.11,140.6,120.92,137.45,89.31,202.41,128.15,122.84,83.89,6.74
505,Koutio Fortunes de mer,218.56,113.12,152.37,40.48,222.88,247.12,230.61,100.52,50.56,163.35,270.91,253.03,184.01,244.35,222.62,234.31,171.17,143.41,173.3,144.09,123.64,117.04,114.87,102.42,79.7,92.94,42.47,38.81,57.46,44.88,233.44,228.32,N/A,91.48,139.98,120.29,136.82,89.96,201.78,127.52,122.21,84.55,7.4
506,Jacarandas I,220.34,114.9,154.15,41.29,224.66,248.9,232.39,102.3,51.37,165.13,272.69,254.81,185.79,246.13,224.4,236.09,172.95,145.19,175.08,145.87,125.42,118.82,116.65,104.2,81.48,94.72,44.25,40.59,59.24,45.69,235.22,230.1,N/A,93.26,141.75,122.07,138.6,90.77,203.56,129.3,123.99,85.35,8.2
